HE01	HE02	HE03	HE04	HE05	HE06	HE07	HE08	HE09	HE10	HE11	HE12	HE13	HE14	HE15	HE16	HE17	HE18	HE19	HE20	HE21	HE22	HE23	HE24	
2131.553	2031.876	1994.286	1956.183	2015.425	2127.123	2421.946	2660.531	2768.521	2881.528	2921.547	2906.195	2889.418	2847.9	2836.191	2834.392	2798.809	2782.488	2652.235	2638.876	2603.777	2479.056	2371.313	2238.055	
2104.673	2028.541	1993.001	1983.052	1965.557	2063.994	2176.477	2259.421	2439.221	2518.454	2513.585	2525.048	2456.059	2406.253	2347.657	2319.594	2307.663	2300.483	2319.156	2433.004	2498.999	2460.496	2366.168	2252.965	
2145.082	2009.081	1991.127	1997.155	1927.73	2006.409	2054.148	2156.871	2257.256	2380.435	2416.368	2389.56	2395.366	2375.471	2382.507	2351.203	2353.181	2395.033	2422.709	2512.304	2552.839	2491.115	2374.845	2249.443	
2143.214	2037.447	2023.44	2017.716	2080.708	2292.606	2546.379	2770.644	2854.553	2900.98	2811.842	2800.664	2810.227	2791.766	2731.752	2751.677	2699.792	2696.424	2677.839	2715.673	2695.587	2585.207	2359.704	2254.591	
2072.492	2028.357	1987.027	1998.473	2069.275	2292.797	2626.276	2824.37	2863.901	2878.986	2822.459	2798.172	2798.28	2729.776	2741.089	2695.254	2729.986	2674.354	2641.192	2684.2	2729.424	2602.095	2472.161	2310.882	
2139.77	2115.595	2090.9	2144.179	2199.903	2472.9	2803.107	3006.662	2995.455	2911.971	2848.013	2826.461	2777.742	2728.979	2716.773	2717.527	2709.948	2723.343	2637.04	2692.828	2688.881	2570.864	2415.394	2290.588	
2092.458	2066.869	1979.489	2030.81	2036.41	2243.214	2566.185	2712.412	2827.396	2827.795	2846.307	2868.484	2837.982	2864.327	2861.251	2882.777	2845.124	2835.375	2751.645	2741.431	2716.296	2572.233	2409.678	2231.019	
2107.081	2037.109	1956.859	1974.214	2050.311	2242.737	2552.239	2767.997	2909.532	2983.415	2996.588	3005.191	3029.857	3048.688	3037.285	3120.576	3122.37	3056.785	2923.345	2912.805	2852.022	2739.717	2542.492	2374.692	
2229.426	2116.923	1999.589	1972.629	1933.189	1974.163	2016.685	2124.339	2277.139	2418.062	2490.132	2494.177	2491.312	2442.944	2381.23	2394.817	2354.792	2351.497	2376.975	2491.044	2531.964	2456.221	2372.627	2238.542	
2159.778	2091.617	2078.028	2112.71	2083.991	2191.203	2298.059	2414.012	2507.971	2585.29	2621.399	2608.635	2580.528	2550.198	2481.871	2435.822	2433.82	2446.106	2511.28	2604.894	2748.187	2691.682	2539.971	2392.361	
2225.42	2163.453	2080.55	2134.655	2212.616	2442.281	2764.697	2912.241	2939.212	2891.42	2892.869	2856.553	2854.064	2856.071	2875.77	2878.214	2914.813	2855.962	2869.727	2781.52	2819.413	2689.243	2485.845	2354.736	
2260.683	2208.148	2229.102	2282.961	2457.571	2683.824	3101.696	3325.502	3363.559	3207.41	3237.721	3209.961	3182.215	3154.872	3144.48	3035.749	3012.021	3021.386	2930.809	3011.603	3058.463	3029.425	2849.264	2618.146	
2533.937	2451.711	2453.564	2474.913	2581.076	2855.417	3220.482	3432.108	3328.606	3192.78	3058.833	3000.241	2960.087	2902.756	2843.518	2811.533	2835.769	2862.665	2800.199	2865.073	2929.485	2801.041	2562.461	2405.175	
2230.877	2148.055	2108.566	2079.639	2162.231	2361.636	2724.236	2915.8	3005.909	3028.781	2992.825	3020.45	2943.923	2866.126	2851.889	2795.594	2825.379	2903.971	2805.982	2795.349	2801.824	2728.897	2531.304	2336.747	
2242.222	2146.514	2139.381	2186.908	2255.566	2476.539	2848.788	3036.102	3083.144	3037.882	2992.304	2957.893	2903.124	2870.54	2810.074	2759.727	2770.537	2758.668	2750.885	2721.436	2807.027	2716.565	2619.58	2481.122	
2336.609	2294.173	2258.419	2214.033	2221.724	2258.01	2383.461	2521.034	2680.882	2811.973	2945.847	2940.921	2857.288	2724.425	2677.345	2613.575	2602.09	2647.779	2721.941	2844.571	2933.557	2939.079	2811.661	2685.507	
2636.724	2520.291	2539.725	2462.997	2521.468	2591.619	2681.96	2728.79	2739.947	2750.637	2719.461	2675.121	2586.539	2518.576	2522.023	2437.533	2448.463	2494.322	2531.596	2635.757	2834.259	2742.312	2614.065	2437.176	
2300.004	2216.684	2165.06	2195.314	2235.958	2489.399	2845.36	3078.343	3121.644	3095.757	3104.593	2993.205	2906.457	2840.189	2861.449	2823.106	2849.554	2827.61	2746.816	2744.713	2791.669	2672.91	2464.975	2285.037	
2069.139	2043.284	1970.893	1967.981	1975.83	2227.169	2546.514	2799.909	2861.552	2951.775	2933.061	2896.745	2858.804	2795.547	2752.69	2794.735	2801.856	2772.245	2708.673	2710.961	2766.498	2635.155	2488.5	2282.943	
2135.759	2075.329	2055.028	2104.393	2143.831	2392.97	2790.539	2998.171	2983.375	2942.118	2916.318	2814.358	2814.114	2797.828	2790.648	2738.27	2800.112	2758.878	2729.901	2727.039	2767.722	2676.626	2513.388	2371.346	
2199.912	2160.812	2101.779	2156.868	2184.579	2479.776	2834.174	3032.422	2962.288	2906.929	2871.916	2813.419	2813.378	2750.675	2807.032	2770.172	2742.753	2764.584	2682.087	2673.781	2717.49	2632.541	2491.328	2266.869	
2126.538	2073.538	2037.519	2031.838	2126.016	2359.822	2655.319	2884.216	2873.585	2853.141	2796.499	2794.384	2763.968	2740.683	2731.416	2709.473	2740.333	2671.502	2600.053	2527.471	2583.085	2487.862	2406.509	2256.304	
2120.595	2066.58	2004.276	2023.213	2028.192	2069.357	2164.372	2261.051	2388.833	2452.108	2453.14	2441.375	2435.65	2376.906	2401.88	2347.643	2340.166	2369.836	2378.552	2380.498	2459.55	2426.079	2327.125	2189.778	
2073.395	2009.288	1938.916	1941.447	1938.756	1971.247	2010.285	2086.435	2218.429	2244.67	2342.915	2266.822	2321.109	2332.447	2345.584	2361.616	2390.292	2439.775	2470.419	2497.295	2609.408	2550.766	2390.678	2199.3	
2011.517	1936.523	1923.985	1899.906	1973.946	2188.852	2449.275	2686.892	2754.213	2872.427	2886.435	2952.497	3009.802	3028.414	3025.756	3067.177	3131.197	3140.577	3028.309	2946.325	2978.006	2804.015	2563.796	2328.011	
2153.153	2021.215	1967.925	1951.938	1981.868	2166.669	2494.174	2707.917	2858.685	2924.306	2986.634	3043.7	3109.345	3129.955	3181.768	3218.615	3227.266	3143.047	2985.381	2871.519	2891.11	2762.171	2508.575	2304.085	
2084.252	1968.961	1947.24	1892.674	1978.554	2131.191	2455.868	2666.461	2763.737	2790.338	2827.265	2836.872	2859.036	2859.736	2875.39	2910.3	2915.017	2948.165	2808.29	2719.037	2779.817	2627.48	2451.35	2240.688	
