DATE	COMP	HE01	HE02	HE03	HE04	HE05	HE06	HE07	HE08	HE09	HE10	HE11	HE12	HE13	HE14	HE15	HE16	HE17	HE18	HE19	HE20	HE21	HE22	HE23	HE24
3/25/2015	RTO	82363.384	80417.593	79786.1	80219.791	82123.212	87697.193	97175.545	101862.687	100695.189	99124.227	97981.224	96407.195	94951.668	94147.517	92738.06	91615.053	91053.057	91232.136	91319.859	93303.094	95298.332	92046.084	86190.867	80052.304
3/26/2015	RTO	75765.253	73523.876	72414.774	72320.274	73909.137	79077.283	88381.393	93722.554	93676.877	93190.057	92952.744	92138.359	91090.182	90357.596	89411.627	88598.482	88709.24	88785.422	89228.527	91780.245	93366.401	90194.835	84704.612	79030.821
3/27/2015	RTO	74846.593	72471.724	71699.141	71913.973	73801.002	79326.269	88994.114	95089.216	96438.524	96847.063	97123.44	96651.046	96044.798	95150.157	94083.615	92604.92	92025.341	92244.312	92721.461	95185.131	97595.868	96015.633	91878.453	87182.633
3/28/2015	RTO	83476.857	81563.335	80913.068	81008.588	82033.051	84652.552	88930.072	92954.413	95784.825	96923.541	96698.761	95352.755	93193.648	91065.238	89252.444	87892.482	87348.238	88051.073	89267.924	93403.215	97911.981	97513.135	94820.756	91132.567
3/29/2015	RTO	88218.52	86563.568	86105.01	86318.632	87256.617	89194.377	92067.047	94632.743	95015.426	93707.695	91496.613	89273.947	87278.204	84952.762	82720.449	81180.548	80695.872	81964.392	83712.336	88602.058	92320.768	90210.633	86267.31	81838.28
3/30/2015	RTO	78503.287	76507.723	75676.165	75829.767	77852.666	83194.595	92330.8	97491.673	97547.429	97046.697	96252.524	94417.498	92087.546	90198.418	88362.613	86549.335	85998.408	85909.777	86189.931	89116.678	92584.798	89966.681	84699.477	79294.773
3/31/2015	RTO	75312.906	73435.265	72734.524	73124.401	75149.458	80796.508	90171.605	94925.821	94157.371	92465.592	91221.812	89686.43	88445.29	87999.176	87166.166	86334.478	86263.782	86853.408	87478.703	89526.307	92106.021	89675.126	84336.85	78918.979
4/1/2015	RTO	75324.3	73619.075	73265.587	73764.697	76125.845	81965.857	91633.428	96382.213	95388.526	93063.153	90888.715	89150.592	87367.856	86052.734	84702.38	83264.031	82793.497	82760.951	83014.246	85336.769	89463.631	87852.273	83210.825	78095.135
4/2/2015	RTO	74037.866	72232.899	71642.967	72056.184	74287.941	79817.167	88358.778	92468.522	91936.394	90200.131	89056.701	87694.607	86282.275	85470.613	84303.875	83193.741	82754.125	82644.544	82497.643	84066.343	86134.531	83362.646	78069.536	71975.176
4/3/2015	RTO	67344.514	64350.597	62998.895	62433.15	63258.536	66416.438	72127.234	76251.694	78853.047	81016.091	82109.008	82161.841	81518.06	80704.313	80055.367	79271.505	79230.697	79524.059	79295.613	80287.907	81514.084	79573.619	75811.432	71107.25
4/4/2015	RTO	66975.053	64476.472	63114.138	62441.23	63048.491	64828.683	67922.918	71193.932	74993.575	77620.29	78338.622	77700.858	76273.894	74511.206	72934.259	71893.049	71859.49	72333.141	72971.506	75596.381	79891.905	79526.514	77063.719	73348.274
4/5/2015	RTO	69823.012	67498.574	66641.287	66446.959	67225.312	69066.722	71971.91	74641.141	76581.836	76565.411	74865.698	73114.366	71600.589	69904.715	68019.758	66735.741	66014.396	66173.982	67314.226	70599.169	75660.426	75326.723	72263.462	68471.29
4/6/2015	RTO	65718.012	64304.803	64150.575	64879.888	67217.754	72714.528	81172.595	85878.75	87055.767	86729.577	86390.939	85668.306	84848.871	84069.762	83082.716	82149.478	81800.155	82022.966	82040.596	84288.638	87015.373	84186.498	78720.685	72843.571
4/7/2015	RTO	68242.464	65555.379	64074.52	63725.414	64986.324	69330.986	77565.751	82791.67	84777.811	85913.34	87166.23	87212.33	87046.59	86873.529	86379.246	85669.014	85658.789	86039.405	86273.76	87897.869	89289.949	85918.352	80036.437	73905.086
4/8/2015	RTO	69528.841	66991.908	65670.076	65303.002	66602.882	71332.185	79595.984	84771.051	86794.645	88033.478	89048.071	89164.208	89000.344	88686.38	87902.536	87214.413	87417.532	88003.422	88667.019	90338.658	91682.963	88704.49	83057.803	77153.46
4/9/2015	RTO	72760.688	70125.941	68660.573	68443.657	69922.544	74862.631	83614.845	88232.458	89950.778	90804.815	91487.272	91616.551	91531.467	91030.565	90164.704	89619.484	89635.867	90072.509	90415.376	91565.927	92719.771	89817.513	83999.372	77893.024
4/10/2015	RTO	73078.999	70467.032	69055.215	68451.235	69649.174	74005.133	82048.678	86830.923	88612.153	89338.092	89432.349	88825.941	87986.639	87057.835	85943.222	84395.594	83531.168	82820.499	81692.909	81874.556	84380.528	82639.915	78135.694	73040.029
4/11/2015	RTO	68478.851	66006.212	64527.285	64084.13	64485.415	66488.326	69494.704	72119.737	74798.227	76426.787	76842.4	76103.17	74985.367	73686.318	72287.008	71601.933	71426.632	71758.177	72088.61	73370.211	77383.216	76894.489	73748.09	69829.494
4/12/2015	RTO	66216.825	64325.757	63424.801	63382.636	64005.687	65979.046	68500.203	70441.225	72388.507	73011.156	72579.622	71981.112	71350.441	70547.186	69930.391	70014.609	70647.36	71952.878	72997.693	75470.425	79869.781	78067.723	73335.903	68309.093
